year,country_code,country_name,human_freedom,human_freedom_rank,human_freedom_quartile,ai_procedural_justice,aii_civil_justice,aiii_criminal_justice,v-dem_rule_of_law,a_rule_of_law,bi_homicide,data,biia_disappearances,biib_violent_conflicts,data.1,biic_organised_conflicts,biid_terrorism_fatalities,data.2,biie_terrorism_injuries,data.3,biif_freedom_from_torture,bvii_freedom_from_political_killings,"bii_disappearances,_conflicts,_and_terrorism",b_safety_&_security,cia_freedom_of_foreign_mvmt,cib_freedom_of_movement_for_men,cic_freedom_of_movement_for_women,ci_movement_v-dem,cii_freedom_of_movement_cld,c_movement,diia_freedom_of_religion_v-dem,diib_freedom_of_religion_-_cld,di_freedom_of_religion,dii_religious_organization_repression,d_religion,ei_civil_society_entry_and_exit,eiia_assembly_-_freedom_house,eiib_assemebly_-_bertelsmann,eiic_freedom_of_assembly_-_cld,eii_freedom_of_assembly,eiiia_barriers_to_parties,eiiib_party_bans,eiiic_opposition_parties_autonomy,eiii_freedom_to_form_political_parties,eiv_civil_society_repression,"e_association,_assembly,_&_civil_society",fia_press_killed,data_(five_year_total),fib_press_jailed,data_(five_year_total).1,fi_direct_attacks_on_press,fiia_freedom_of_academic_and_cultural_expression,fiib_harassment_of_journalist,fiic_government_censorship_effort,fiid_internet_censorship_effort,fiie_media_self-censorship,fiimedia_&_expression_(v-dem),fiii_media_&_expression_(freedom_house),fiv_media_&_expression_(bertelsmann),fv_freedom_expression_(cld),f_expression_&_information,gia_male_to_male_relationships,gib_female_to_female_relationships,gi_same-sex_relationships,gii_divorce,giiia_inheritance_rights:_widows,giiib_inheritance_rights:_daughters,giii_inheritance_rights,giv_female_genital_mutilation,g_identity_&_relationships,personal_freedom,personal_freedom_rank,1a_government_consumption,data.4,1b__transfers_and_subsidies,data.5,1c__government_investment,data.6,1di_top_marginal_income_tax_rate,data.7,1dii_top_marginal_income_and_payroll_tax_rate,data.8,1d__top_marginal_tax_rate,ie_state_ownership,1__size_of_government,2a__judicial_independence,2b__impartial_courts,2c__property_rights,2d__military_interference,2e_legal_integrity,2f_contracts,2g_real_property,2h_police_and_crime,gender_disparity_index,2__legal_system_&_property_rights_--_without_gender_adjustment,3a__money_growth,data.9,3b__standard_deviation_of_inflation,data.10,3c__inflation,data.11,3d__foreign_currency_bank_accounts,3__sound_money,4ai__trade_tax_revenue,data.12,4aii__mean_tariff_rate,data.13,4aiii__standard_deviation_of_tariff_rates,data.14,4a__tariffs,4bi__non-tariff_trade_barriers,4bii__costs_of_importing_and_exporting,4b__regulatory_trade_barriers,4c__black_market_exchange_rates,4di__financial_openness,4dii__capital_controls,4diii_freedom_of_foreigners_to_visit,4div_protection_of_foreign_assets,4d__controls_of_the_movement_of_capital_and_people,4__freedom_to_trade_internationally,5ai__ownership_of_banks,5aii_private_sector_credit,5aiii__interest_rate_controls/negative_real_interest_rates),5a__credit_market_regulation,5bi__labor_regulations_and_minimum_wage,5bii__hiring_and_firing_regulations,5biii__flexible_wage_determination,5biv__hours_regulations,5bv_cost_of_worker_dismissal,5bvi__conscription,5bvii_foreign_labor,5b__labor_market_regulations,5ci__regulatory_burden,5cii__bureacracy_costs,5ciii__impartial_public_administration,5civ_tax_compliance,5c__business_regulation,5di__market_openness,5dii_business_permits,5diii_distorton_of_the_business_environment,5d_freedom_to_enter_markets_and_compete,5__regulation,economic_freedom,economic_freedom_rank
2021,AUT,Austria,8.24,24.0,1.0,,,,7.619644694183099,7.953109560196036,9.78779069767442,0.73,10.0,10.0,0.0,10.0,8.876685670428753,6.0,7.68963558341901,23.0,9.4825,9.695,9.391974464835396,9.589882581254908,9.602500000000001,9.115,9.43,9.3825,3.3333333333333335,6.357916666666667,8.0325,10.0,9.01625,8.6875,8.851875,6.155,10.0,,10.0,10.0,9.865,8.705,9.7575,9.4425,9.435,8.758125000000001,10.0,0,10.0,0,10.0,9.2725,7.7524999999999995,8.1225,9.886666666666667,6.546666666666666,8.316166666666668,7.5,,10.0,8.954041666666667,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,8.637850067826326,24.0,2.8500000000000005,30.31,1.9836512261580383,29.92,10.0,13.2,4.0,55.0,3.0,59.0,3.5,6.414999999999999,4.949730245231608,7.756031219888889,7.714218638693593,9.309419790833333,10.0,9.025,7.156997525855086,8.100493939892425,9.298795064166667,1.0,8.545119522416249,7.195031177693472,14.02484411153264,9.8454220492164,0.38644487695899593,9.446666666666669,2.76666666666665,10.0,9.121779973394135,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,7.078798215,9.981656882461547,8.530227548730773,10.0,10.0,3.076923076923077,8.850051305214054,8.449819882916668,7.59419856626345,8.546906528748556,8.0,7.888239782690567,10.0,8.629413260896856,8.2,8.75,2.489248116666667,6.0,10.0,3.0,4.751249353333334,6.170071067142857,4.4660965599999995,7.333333333333333,8.74,6.765789116358429,6.826304752422941,7.935144777568556,7.296297347348384,7.22043755647451,7.48395989379715,7.27743724356495,7.69,28.0
2021,BEL,Belgium,8.33,22.0,1.0,,,,8.494879048607235,7.841342895733444,9.686046511627907,1.08,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,9.4425,9.7925,9.890714285714285,9.788380398671096,8.3625,9.905000000000001,9.879999999999999,9.3825,6.666666666666667,8.024583333333334,9.3875,6.666666666666667,8.027083333333334,9.8525,8.939791666666666,7.635,10.0,,10.0,10.0,9.807500000000001,9.4425,9.7275,9.659166666666666,9.7675,9.265416666666665,10.0,0,10.0,0,10.0,8.6325,7.5475,9.8575,9.893333333333333,9.683333333333334,9.122833333333332,10.0,,6.666666666666667,8.947375,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,8.9724128515816,14.0,2.0794117647058825,32.93,1.4904632152588562,31.73,10.0,11.3,2.0,52.5,0.0,67.5,1.0,7.970000000000001,4.507974995992948,7.719848312777779,7.294172127354431,8.928054570833332,10.0,8.261916666666668,6.855012584227286,4.899304649349012,7.551051775833333,1.0,7.688670085880229,7.1315235205892025,14.342382397053989,9.743703435962757,0.6407414100931069,9.511950297711838,2.44024851144081,10.0,9.09679431356595,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,7.821803093333332,9.981656882461547,8.90172998789744,10.0,10.0,3.8461538461538463,0.0,8.927206992916666,5.693340209767628,8.164567549416267,8.0,7.911919865983749,10.0,8.637306621994583,6.95,7.5,5.847580433333333,6.0,10.0,10.0,6.806086301666667,7.5862381050000005,3.50340565,7.777777777777778,9.5075,6.737765800188903,6.88161230699167,8.071060918035476,7.459800675449809,7.5,7.676953864495094,7.695527724620336,7.43,46.0
2021,BGR,Bulgaria,7.68,48.0,2.0,,,,6.763536029474628,4.908570709434574,9.627906976744185,1.28,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,7.8500000000000005,9.21,9.58,9.603953488372092,9.69,9.42,9.715,9.608333333333333,6.666666666666667,8.1375,8.4925,6.666666666666667,7.579583333333334,8.3275,7.953541666666667,7.744999999999999,10.0,7.777777777777779,6.666666666666667,8.148148148148149,9.74,9.4025,8.9825,9.375,9.4175,8.671412037037037,10.0,0,10.0,0,10.0,7.2775,5.077500000000001,8.147499999999999,9.89,5.13,7.1045,5.0,5.555555555555555,3.3333333333333335,6.198677777777778,10.0,10.0,10.0,7.5,,,10.0,10.0,9.375,7.835522239898306,54.0,4.552941176470588,24.52,4.877384196185287,19.3,9.148571428571426,17.98,10.0,10.0,7.0,35.0,8.5,6.887499999999999,6.793279360245461,5.6021533266666665,4.460484524148011,5.154532108933045,8.333333333333334,5.504,3.7919659137193404,8.720523023242663,4.880761901666666,1.0,5.805969266463715,8.862520323794607,5.687398381026965,9.389521913482437,1.5261952162939056,9.340451129400979,3.29774435299511,10.0,9.398123341669507,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,6.461341778333333,9.849468419446257,8.155405098889794,10.0,8.13344657421112,4.615384615384616,8.850051305214054,6.400752067916667,6.999908640681615,8.304628434892853,10.0,8.085731075128983,9.0,9.028577025042994,5.283333333333333,7.125862692305685,7.180484136666667,6.0,9.251725384611369,10.0,5.112391313333333,7.136256694321484,4.5161469783333335,5.333333333333333,5.114999999999999,3.7783435138478425,4.685705956378627,6.063278825194931,9.331401933001725,6.25,7.2148935860655525,7.016358315452164,7.46,43.0
2021,HRV,Croatia,7.96,34.0,1.0,,,,6.99203796906238,5.947032013874791,9.76453488372093,0.81,10.0,10.0,0.0,10.0,9.569967722371926,1.0,9.76927021743677,1.0,7.654999999999999,9.702499999999999,9.52810541997267,9.646320151846801,8.5675,9.389999999999999,9.7975,9.251666666666667,6.666666666666667,7.9591666666666665,9.06,10.0,9.530000000000001,9.7475,9.638750000000002,7.065,10.0,10.0,10.0,10.0,9.73,9.469999999999999,9.0325,9.410833333333334,8.1775,8.663333333333334,10.0,0,10.0,0,10.0,7.045,5.5600000000000005,7.2250000000000005,9.85,6.8133333333333335,7.298666666666667,7.5,5.555555555555555,6.666666666666667,7.404177777777777,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,8.465539991928482,31.0,3.5588235294117654,27.9,4.861035422343325,19.36,7.834285714285715,22.58,7.0,39.0,2.0,58.0,4.5,6.8975,5.530328933208161,5.474047530222222,4.8736253193864565,4.793420831666667,8.333333333333334,7.20475,3.782373123632301,8.390191450887352,5.443692718099713,1.0,6.036929288403505,8.933495818663882,5.332520906680593,9.659274762573428,0.8518130935664314,9.48909860071591,2.55450699642046,10.0,9.520467295488306,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,7.54103669518896,9.977988258953856,8.759512477071407,10.0,6.711687005349879,3.8461538461538463,8.850051305214054,6.44276102375,6.462663295116945,8.321343943047088,8.0,8.941078751918099,10.0,8.9803595839727,4.666038531826026,6.252875641031418,6.721449693333334,6.0,7.505751282062835,10.0,3.67299047245345,6.402729374386723,1.5764528516666665,6.666666666666666,6.18,6.345439373815545,5.192139723037219,5.781034217962315,8.521512413791891,5.957904668056479,6.753483766603561,6.832178112000051,7.25,53.0
2021,CYP,Republic of Cyprus,8.15,27.0,1.0,,,,7.447306330409434,6.899549163040069,9.625000000000002,1.29,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,8.85,9.835,9.455,9.540000000000001,9.01,9.85,8.77,9.209999999999999,6.666666666666667,7.938333333333333,8.8675,6.666666666666667,7.767083333333334,9.6675,8.717291666666668,8.8175,10.0,,10.0,10.0,9.8125,9.8525,9.5625,9.7425,9.5525,9.528125000000001,10.0,0,10.0,0,10.0,8.855,6.42,6.7425,9.89,6.3,7.641499999999999,10.0,,6.666666666666667,8.577041666666666,10.0,10.0,10.0,5.0,,,10.0,10.0,8.75,8.56433440424382,28.0,4.458823529411765,24.84,4.700272479564033,19.95,10.0,13.050806057645334,7.0,35.0,6.0,39.0,6.5,7.737500000000001,6.67931920179516,6.811905393,6.573206139403737,7.058952649166667,8.333333333333334,7.967916666666667,4.501757730903898,7.29883033547882,6.95006609,0.9411764705882353,6.93699604224414,7.058635253423842,14.706823732880792,9.41095584030994,1.4726103992251494,9.510782265649055,2.44608867175472,10.0,8.99509333984571,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,8.397065798333333,9.315091866509206,8.85607883242127,10.0,8.75,6.153846153846154,0.0,8.1598414975,5.765921912836538,8.171300186314452,10.0,8.468677909655307,10.0,9.489559303218435,5.283333333333333,7.5,6.2868809699999995,10.0,10.0,1.0,4.823598663333334,6.413401852380952,4.452228943333333,8.222222222222223,7.847499999999999,9.330242743548338,7.463048477275974,6.187268950132568,4.998371184572289,6.25,5.811880044901618,7.2944724194442445,7.57,34.0
2021,CZE,Czech Republic,8.38,20.0,1.0,,,,7.694060618525036,7.3982800478293145,9.869186046511627,0.45,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,8.785,9.8325,9.8025,9.835843023255814,8.5775,9.475,9.4925,9.181666666666667,6.666666666666667,7.924166666666666,9.0725,10.0,9.536249999999999,9.352500000000001,9.444375,8.3025,10.0,10.0,10.0,10.0,9.7975,9.055,8.795,9.215833333333334,9.5875,9.276458333333334,10.0,0,10.0,0,10.0,7.865,7.512499999999999,7.6049999999999995,9.79,7.7633333333333345,8.107166666666666,7.5,8.88888888888889,6.666666666666667,8.232544444444445,10.0,10.0,10.0,7.5,,,10.0,10.0,9.375,8.783809645075653,20.0,2.308823529411765,32.15,4.1035422343324255,22.14,9.142857142857142,18.0,9.0,23.0,5.0,45.0,7.0,8.4,6.191044581320267,6.808469529555556,6.0040605748428835,8.117019335833334,10.0,7.8291666666666675,4.517069383683547,8.165426019813534,7.299809247123033,1.0,7.342627594689819,8.908246533085544,5.45876733457229,9.536710531086774,1.1582236722830626,9.2320310169997,3.8398449150015,10.0,9.419247020293005,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,8.272566398333334,9.981656882461547,9.127111640397441,10.0,10.0,3.076923076923077,8.850051305214054,8.972897728333333,7.724968027617616,8.728819917003763,10.0,8.189500706273277,9.0,9.063166902091092,6.95,6.377588076917052,7.823914686666668,10.0,7.755176153834103,10.0,5.081165538975142,7.712549208056138,2.9116670283333335,6.000000000000001,7.1625000000000005,5.799044114219145,5.4683027856381194,7.301010014092542,6.906386876894125,7.5,7.235798963662222,7.369954464861893,7.81,17.0
2021,DNK,Denmark,8.83,3.0,1.0,,,,8.422914851053037,9.003059976383424,9.767441860465116,0.8,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,8.7625,9.8775,9.805714285714286,9.7865780730897,9.1775,9.235,9.27,9.227500000000001,6.666666666666667,7.9470833333333335,9.695,10.0,9.8475,9.52,9.68375,9.4375,10.0,,10.0,10.0,9.795,9.93,9.7325,9.819166666666668,9.7425,9.749791666666667,4.8473905325926525,1,10.0,0,7.423695266296326,9.290000000000001,9.5375,9.7675,9.91,9.73,9.647,10.0,,10.0,9.267673816574082,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,9.348276695149602,3.0,1.5411764705882358,34.76,4.384196185286104,21.11,9.971428571428572,15.1,3.0,52.0,2.0,56.0,2.5,7.485,5.176360245460582,8.534712556555556,8.807897159426116,9.167404969166666,10.0,9.62,7.714577216282113,9.727176307658624,9.044686158333334,1.0,9.077056795927803,9.2615276769736,3.6923616151320005,9.615494690170639,0.9612632745734062,9.629390912020627,1.85304543989687,10.0,9.626603319791217,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,7.102437416666667,9.981656882461547,8.542047149564107,10.0,10.0,6.923076923076923,0.0,8.725539843333333,6.412154191602564,8.254350335291669,10.0,10.0,10.0,10.0,8.75,10.0,5.593868096666666,8.0,10.0,3.0,6.0007353625,7.334943351309525,4.787930648333333,6.444444444444444,9.15,8.010184453124523,7.098139886475575,8.713100140508544,9.874835876864541,8.75,9.112645339124361,8.386432144227365,8.1,7.0
2021,EST,Estonia,8.75,5.0,1.0,,,,8.325655516946373,8.155288949507613,9.430232558139535,1.96,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,9.2725,9.7675,9.862857142857141,9.646544850498337,9.7975,9.8575,9.8425,9.832500000000001,6.666666666666667,8.249583333333334,9.59,10.0,9.795,9.845,9.82,9.495000000000001,10.0,10.0,10.0,10.0,9.157499999999999,9.8775,9.662500000000001,9.565833333333332,9.8025,9.715833333333334,10.0,0,10.0,0,10.0,9.4375,8.75,9.6975,9.893333333333333,9.253333333333332,9.406333333333333,10.0,8.88888888888889,10.0,9.659044444444444,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,9.320899273016723,5.0,3.1911764705882355,29.15,5.501362397820165,17.009999999999998,8.771428571428572,19.3,10.0,20.0,4.0,42.0,7.0,7.645,6.421793487967395,7.940992349000001,6.777846997779107,8.691395918333333,8.333333333333334,7.718583333333333,6.742195981539863,9.504907725234874,7.905531724166666,1.0,7.951848420340064,7.521879788374815,12.390601058125927,9.064091832255134,2.3397704193621665,9.069366652305039,4.65316673847481,10.0,8.913834568233746,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,8.047703908037,9.937870211124302,8.992787059580651,10.0,10.0,5.384615384615384,0.0,8.907683889166666,6.073074818445512,8.282265469506541,10.0,9.212269547589392,9.0,9.404089849196465,7.083333333333334,7.758894131442844,8.671966393333333,4.0,9.251725384611369,3.0,4.3984182675,6.309191072888697,5.2014541633333335,8.666666666666668,9.62,9.719766838304745,8.301971917076186,8.083622336055196,9.239308455274209,8.75,8.690976930443135,8.176557442401121,7.95,12.0
2021,FIN,Finland,8.7,9.0,1.0,,,,8.761882074143708,8.588216453693098,9.523255813953488,1.64,10.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,9.772499999999999,9.835,9.943928571428572,9.733592192691031,9.7175,9.895,9.905000000000001,9.839166666666666,6.666666666666667,8.252916666666666,9.8125,10.0,9.90625,9.7175,9.811875,7.545,10.0,,10.0,10.0,9.02,9.82,9.74,9.526666666666666,9.5625,9.158541666666666,10.0,0,10.0,0,10.0,9.45,9.07,7.915,9.883333333333333,9.350000000000001,9.133666666666667,10.0,,10.0,9.783416666666668,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,9.332651235197732,4.0,2.2441176470588244,32.37,3.485013623978202,24.41,9.228571428571428,17.7,3.0,51.0,2.0,56.5,2.5,7.047499999999999,4.9010405399216905,8.59965827188889,8.432393564299518,9.6683776375,10.0,9.67375,7.525045513460257,7.522851945059985,9.769260883333335,1.0,8.898917226942748,7.100092788386858,14.49953605806571,9.739678733361487,0.650803166596282,9.561085135320013,2.19457432339993,10.0,9.10021416426709,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,7.719834645833332,9.131070996071635,8.425452820952483,10.0,10.0,3.076923076923077,0.0,8.832285801249999,5.477302219543269,7.9914887601239375,10.0,8.936182089675123,10.0,9.645394029891706,5.7,8.75,2.7968311316666665,8.0,10.0,3.0,6.170680920000001,6.34535886452381,6.491260528333332,6.666666666666666,9.13,8.24558030894854,7.633376875987135,9.889272204780863,9.858340760460823,7.5,9.082537655080563,8.176666856370804,7.81,17.0
2021,FRA,France,7.86,39.0,1.0,,,,7.725390025647748,6.665645539938283,9.66860465116279,1.14,10.0,10.0,0.0,10.0,9.727767460711956,11.0,9.78754354332988,16.0,8.1375,9.702499999999999,9.622187286291691,9.64539596872724,9.807500000000001,9.4125,9.45,9.556666666666667,3.3333333333333335,6.445,9.0925,6.666666666666667,7.879583333333333,8.065,7.972291666666666,7.51,7.5,,6.666666666666667,7.083333333333334,9.8025,9.8775,9.682500000000001,9.7875,8.32,8.175208333333334,10.0,0,10.0,0,10.0,9.692499999999999,8.635,9.2825,9.196666666666665,9.706666666666667,9.302666666666667,10.0,,6.666666666666667,8.992333333333333,10.0,10.0,10.0,10.0,,,7.5,10.0,9.375,8.18155354885698,43.0,2.491176470588235,31.53,1.4850136239782021,31.75,10.0,14.8,4.0,51.0,2.0,61.5,3.0,7.4275,4.880738018913287,7.132548790888889,7.2977386904712915,8.5159691175,8.333333333333334,8.212666666666667,6.262869083749894,6.806639993131602,7.299508650833333,1.0,7.482659290821876,7.051802605863875,14.740986970680625,9.704792327385949,0.7380191815351257,9.671533717923216,1.64233141038392,10.0,9.10703216279326,8.6,2.1,8.98,5.1,6.6096,8.476,8.0632,8.004215160833333,9.981656882461547,8.99293602164744,10.0,10.0,5.384615384615384,0.0,8.5915529725,5.994042089278846,8.26254452773157,8.0,7.315958635357223,10.0,8.438652878452407,3.6166666666666663,6.212533665475058,6.632067361666666,4.0,8.129313461528424,10.0,6.529539425833333,6.445731511595736,4.2752707,7.111111111111112,9.0125,6.720951810487189,6.779958405399575,7.667832080196015,7.438057153779021,7.22043755647451,7.442108930149849,7.276612931399392,7.4,47.0
