country_name,year,access_to_clean_fuels_and_technologies_for_cooking_(%_of_population),access_to_electricity_(%_of_population),account_ownership_at_a_financial_institution_or_with_a_mobile-money-service_provider_(%_of_population_ages_15+),adequacy_of_social_insurance_programs_(%_of_total_welfare_of_beneficiary_households),adequacy_of_social_protection_and_labor_programs_(%_of_total_welfare_of_beneficiary_households),adequacy_of_unemployment_benefits_and_almp_(%_of_total_welfare_of_beneficiary_households),adjusted_net_national_income_(annual_%_growth),adolescents_out_of_school_(%_of_lower_secondary_school_age),"average_working_hours_of_children,_study_and_work,_ages_7-14_(hours_per_week)",bank_capital_to_assets_ratio_(%),children_out_of_school_(%_of_primary_school_age),compensation_of_employees_(%_of_expense),"cost_to_export,_border_compliance_(us$)","cost_to_import,_border_compliance_(us$)",coverage_of_social_protection_and_labor_programs_(%_of_population),"educational_attainment,_at_least_completed_upper_secondary,_population_25+,_total_(%)_(cumulative)","employment_to_population_ratio,_15+,_total_(%)_(national_estimate)",expense_(%_of_gdp),gdp_growth_(annual_%),"part_time_employment,_total_(%_of_total_employment)",people_using_at_least_basic_drinking_water_services_(%_of_population),prevalence_of_current_tobacco_use_(%_of_adults),progression_to_secondary_school_(%),"school_enrollment,_primary_(%_gross)",secure_internet_servers,"taxes_on_income,_profits_and_capital_gains_(%_of_total_taxes)",unemployment_with_advanced_education_(%_of_total_labor_force_with_advanced_education),"unemployment,_total_(%_of_total_labor_force)_(national_estimate)","wage_and_salaried_workers,_total_(%_of_total_employment)_(modeled_ilo_estimate)"
Greece,2013,100,100,..,..,..,..,-2.90407138692105,3.82101988792419,..,7.2650484914582,2.26207995414734,19.7888623896908,..,..,..,56.8320388793945,37.398,51.4208070761897,-2.51599722189651,24.07,99.9790200917084,..,98.88882,98.7325210571289,2330,32.1097762289068,20.856,27.686,63.0109821004254
Greece,2014,100,100,87.52,..,..,..,2.72856648207727,6.14374017715454,..,8.07355026882126,2.8713800907135,27.199697047372,300,0,..,56.2700004577637,37.765,38.8465149987382,0.475695947137041,25.95,99.9982288014899,..,99.56539,97.959342956543,3026,34.3330773747685,20.503,26.708,64.0328599890661
Greece,2015,100,100,..,..,..,..,1.27480074164063,3.29626989364624,..,10.1669047034253,2.17934989929199,25.9351132492561,300,0,..,57.9300003051758,38.726,40.3790095307243,-0.196087629724133,26.26,100,37.9,97.13093,99.8291091918945,4436,32.943861869463,19.734,24.981,65.0436951704983
Greece,2016,100,100,..,..,..,..,-0.113228748228394,4.08218002319336,..,10.4331869506799,1.42453002929688,27.1515743232007,300,0,..,54.6399993896484,39.516,38.3439731535796,-0.487173294301954,25.33,100,..,98.93394,99.3706512451172,15214,33.2510533259565,17.827,23.514,65.9096047201302
Greece,2017,100,100,85.47,..,..,..,1.38873985194823,3.66390991210938,..,11.997373253489,1.97014999389648,27.635766553825,300,0,..,59.9743156433105,40.556,37.1903601225367,1.09214912017283,25.16,99.9999979723882,..,..,98.8267135620117,39746,32.9473661968855,16.324,21.414,66.1784607491356
Greece,2018,100,100,..,..,..,..,0.574103473169657,3.64787006378174,..,10.7157998546345,2.98123002052307,26.7872938047719,300,0,..,60.8411026000977,41.581,37.8730675930557,1.66842863602514,25.24,99.9999999632639,34.5,..,97.8011016845703,54044,33.7039767375189,14.209,19.179,66.5162817420752
Greece,2019,100,100,..,..,..,..,2.73142090108219,3.19763994216919,..,10.9783046101491,3.1951699256897,27.7296579450805,300,0,..,63.7433700561523,42.657,35.8510639075375,1.87948998590817,25.1,99.9999992981031,34.5,..,97.6437683105469,71270,31.4069774724931,12.086,17.045,68.1028270256872
Greece,2020,100,100,..,..,..,..,-9.78023865566728,3.36996006965637,..,8.83237171883536,3.72726011276245,24.2530727441343,..,..,..,65.2699966430664,42.462,46.1931689292599,-9.31643576478743,31.91,100,33.5,..,97.2831726074219,95300,32.2260011496455,11.557,15.899,68.1425002933653
Greece,2021,100,100,94.88,..,..,..,8.69091079214543,2.39033007621765,..,6.97082251307764,3.84676003456116,23.4374370338476,..,..,..,67.1153335571289,43.33,43.547568907751,8.37994378358083,25.85,99.9999952318863,..,..,97.3313217163086,120324,32.2341986096052,10.943,14.657,68.1753708088274
Greece,2022,100,100,..,..,..,..,..,0.993260025978088,..,6.92333288644458,0.00218000006861985,22.6321681822475,..,..,..,68.630744934082,45.754,40.1286622268274,5.55728707963308,25.75,99.9999994922049,..,..,101.192031860352,136391,30.5216950278949,8.876,12.426,62.8837641054992
Hungary,2012,100,100,..,..,..,..,-1.77645240330976,1.15570998191833,..,9.47369914991514,1.68873000144958,17.7612690683184,..,..,..,77.629997253418,45.976,32.9778518063012,-1.25022602347063,21.41,99.9697006074986,..,99.32605,101.069969177246,3900,28.7961863444036,4.549,11.003,88.265820190921
Hungary,2013,100,100,..,..,..,..,4.60562535393434,1.61134004592896,..,9.93087229122764,2.51460003852844,20.3738470419196,..,..,..,78.4899978637695,46.87,36.6511467172256,1.80252210082266,23.87,99.9699743237225,..,99.61025,100.705917358398,5099,27.8223761591203,4.001,10.177,88.724179294177
Hungary,2014,100,100,72.26,..,..,..,3.8500624167196,1.93719005584717,..,8.53741171287908,3.55278992652893,21.8132526903187,0,0,..,74.120002746582,49.534,34.7618267707741,4.23220980614269,22.27,99.9702519413688,..,99.64058,101.314437866211,6592,28.4405065287979,3.144,7.725,88.6747194153676
Hungary,2015,100,100,..,..,..,..,4.38904902432728,2.52056002616882,..,8.21715459074335,4.28495979309082,23.4190610775096,0,0,..,75.0999984741211,51.026,32.5105745416165,3.7073159793626,22.86,99.9705261412823,33.2,99.84498,100.827682495117,9120,28.7093138543687,2.417,6.813,88.9919005773473
Hungary,2016,100,100,..,..,..,..,5.31644496826135,2.85660004615784,..,9.60256392469865,4.96833992004395,24.6770044284732,0,0,..,76.0599975585938,52.847,32.4198861474846,2.20100189293856,18.13,99.9708056888519,..,99.50456,99.0286331176758,40492,30.8099516938472,1.803,5.115,89.1830018276533
Hungary,2017,100,100,74.94,..,..,..,2.3833917973796,3.11308002471924,..,10.2612691911582,4.86931991577148,25.1547912594654,0,0,..,76.9970626831055,53.935,32.2381767428886,4.27197601620695,23.54,99.9710917206745,..,..,98.431266784668,133382,30.7774157552303,1.618,4.156,89.3785758315512
Hungary,2018,100,100,..,..,..,..,5.12012880216841,3.90091991424561,..,10.9666434812049,4.45279979705811,25.9507184306995,0,0,..,78.1045227050781,54.628,30.4774269885871,5.36234836176223,24.36,99.99999908101,32.2,..,96.7522125244141,188120,28.7919724919695,1.461,3.709,89.5834378159223
Hungary,2019,100,100,..,..,..,..,6.58399516642321,4.37389993667603,..,11.7071381480151,4.34871006011963,26.4785314842672,0,0,..,78.5931243896484,55.147,30.1355627018873,4.86422573511891,26.07,100,32.2,..,96.6208801269531,256400,28.7834560981554,1.544,3.419,89.1720989537478
Hungary,2020,100,100,..,..,..,..,-4.47052935231321,4.54261016845703,..,10.1245463509826,4.27849006652832,24.254850906784,..,..,..,80.0100021362305,54.482,35.2580883528635,-4.48704604765308,25.12,99.9999999799691,31.8,..,97.1749420166016,319932,28.9033633072308,1.845,4.25,87.7089370397527
Hungary,2021,100,100,88.22,..,..,..,2.92912837119954,5.37253999710083,..,8.89330356644703,3.86026000976562,23.234547466905,..,..,..,81.4102630615234,57.134,35.3943141756947,7.06122060972912,27.36,99.9999988534441,..,..,101.458427429199,405489,25.6717035464556,1.744,4.045,87.4916236660344
Hungary,2022,100,100,..,..,..,..,..,4.78233003616333,..,8.94783227919207,3.68225002288818,22.7294290565927,..,..,..,82.6402359008789,58.164,35.4863493682184,4.58340767295068,23,100,..,..,103.47647857666,493765,29.2063314590818,1.447,3.609,87.3245336420737
Ireland,2012,100,100,..,..,..,..,-0.40883038805913,0.430330008268356,..,7.37427317357875,0.0578900016844273,24.7145490924075,..,..,..,67.6214752197266,52.114,40.3044815820797,-0.129692110994981,42.09,96.4189638953027,..,..,102.118339538574,11346,52.8060900851494,7.964,15.451,83.171491393694
Ireland,2013,100,100,..,..,..,..,6.31294900502553,..,..,7.54114085828058,0.0726900026202202,24.3385631922413,..,..,..,69.2389221191406,53.453,38.3890650643177,1.17461437395743,41.86,96.351241208789,..,..,101.958343505859,12215,51.8047960061157,7.499,13.735,82.9808559635201
