country_name,year,happiness_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Austria,2012,7.400688648223877,10.883644104003906,0.945142388343811,70.0999984741211,0.9197039008140564,0.11211855709552765,0.7705857753753662,0.712149977684021,0.15667499601840973
Austria,2013,7.498802661895752,10.878005027770996,0.949809193611145,70.19999694824219,0.9217344522476196,0.16256439685821533,0.6789368987083435,0.7250531911849976,0.16260331869125366
Austria,2014,6.949999809265137,10.87678050994873,0.898920476436615,70.30000305175781,0.8850268721580505,0.1119244396686554,0.5669313073158264,0.7209653258323669,0.1701495498418808
Austria,2015,7.076447010040283,10.875664710998535,0.9281103014945984,70.4000015258789,0.9003051519393921,0.09321006387472153,0.5574796199798584,0.747707724571228,0.16446903347969055
Austria,2016,7.04807186126709,10.884549140930176,0.9263185858726501,70.5250015258789,0.88851398229599,0.0741286501288414,0.5236409902572632,0.7134508490562439,0.19742384552955627
Austria,2017,7.293727874755859,10.899937629699707,0.9062178134918213,70.6500015258789,0.890030562877655,0.1275908648967743,0.5183038115501404,0.6988893747329712,0.18026871979236603
Austria,2018,7.396001815795898,10.919031143188477,0.9116681218147278,70.7750015258789,0.9041119813919067,0.047986846417188644,0.5230605602264404,0.6946277022361755,0.22605879604816437
Austria,2019,7.195361137390137,10.929644584655762,0.9644888043403625,70.9000015258789,0.9034276604652405,0.0542902834713459,0.4570888876914978,0.7273411154747009,0.20516973733901978
Austria,2020,7.213489055633545,10.858776092529297,0.924831211566925,71.0250015258789,0.9119098782539368,0.004416045732796192,0.4638301730155945,0.7163522839546204,0.20649965107440948
Austria,2021,7.079640865325928,10.898980140686035,0.8629759550094604,71.1500015258789,0.7948459386825562,0.15775805711746216,0.500808596611023,0.7218652367591858,0.259080171585083
Belgium,2012,6.935122013092041,10.783341407775879,0.9271170496940613,69.5199966430664,0.8552666306495667,-0.05606037378311157,0.7575725317001343,0.7181869745254517,0.23827680945396423
Belgium,2013,7.103661060333252,10.783209800720215,0.9091861844062805,69.68000030517578,0.8907110691070557,0.010700806975364685,0.5736643075942993,0.738157331943512,0.21713894605636597
Belgium,2014,6.8553290367126465,10.794432640075684,0.9435491561889648,69.83999633789062,0.8609535098075867,-0.00464719720184803,0.5119757652282715,0.7436781525611877,0.25155705213546753
Belgium,2015,6.904219150543213,10.808846473693848,0.8852088451385498,70.0,0.8694749474525452,0.05621204525232315,0.4687846302986145,0.7471033334732056,0.23995870351791382
Belgium,2016,6.948936462402344,10.816370964050293,0.9289640784263611,70.1500015258789,0.865759015083313,-0.06168225035071373,0.4966591000556946,0.7010933756828308,0.25965338945388794
Belgium,2017,6.928347587585449,10.828584671020508,0.921639084815979,70.30000305175781,0.8568019866943359,0.04865328595042229,0.5430460572242737,0.713402271270752,0.23359769582748413
Belgium,2018,6.892171859741211,10.841803550720215,0.9298155307769775,70.44999694824219,0.8083866238594055,-0.13047930598258972,0.6304118037223816,0.6817125678062439,0.25029733777046204
Belgium,2019,6.7721381187438965,10.858762741088867,0.8842304944992065,70.5999984741211,0.7762036323547363,-0.17797590792179108,0.6724975109100342,0.6990424990653992,0.24363084137439728
Belgium,2020,6.838760852813721,10.799335479736328,0.9035586714744568,70.75,0.7669178247451782,-0.1718907505273819,0.6336267590522766,0.619125485420227,0.2601887881755829
Belgium,2021,6.88175630569458,10.855599403381348,0.9148567914962769,70.9000015258789,0.8225030899047852,0.07735525071620941,0.5233678221702576,0.6865835189819336,0.26003092527389526
Bulgaria,2012,4.222297191619873,9.84753131866455,0.8379666209220886,65.4800033569336,0.6412564516067505,-0.1807703971862793,0.9382086992263794,0.5095552802085876,0.2366328239440918
Bulgaria,2013,3.993020534515381,9.847506523132324,0.8291323184967041,65.62000274658203,0.603213369846344,-0.19914494454860687,0.9620471000671387,0.5367209315299988,0.278313010931015
Bulgaria,2014,4.438439846038818,9.862812995910645,0.8859491944313049,65.76000213623047,0.5755959153175354,-0.06236521154642105,0.9546369314193726,0.5422828793525696,0.23559372127056122
Bulgaria,2015,4.865401268005371,9.902899742126465,0.9075170159339905,65.9000015258789,0.6368178129196167,-0.2070072442293167,0.941279947757721,0.5559516549110413,0.21422383189201355
Bulgaria,2016,4.837560653686523,9.939859390258789,0.9260360598564148,66.0,0.7002655267715454,-0.1768510788679123,0.935988187789917,0.5445662140846252,0.17169985175132751
Bulgaria,2017,5.096901893615723,9.974410057067871,0.9417545795440674,66.0999984741211,0.6890470385551453,-0.16029389202594757,0.9107997417449951,0.5419514775276184,0.18863734602928162
Bulgaria,2018,5.098813533782959,10.008125305175781,0.9238532781600952,66.19999694824219,0.7243359088897705,-0.18206416070461273,0.9520144462585449,0.5539103150367737,0.18909098207950592
Bulgaria,2019,5.108438014984131,10.0547513961792,0.9482043981552124,66.30000305175781,0.8219298720359802,-0.11494727432727814,0.9428064823150635,0.5765827894210815,0.19988831877708435
Bulgaria,2020,5.597723007202148,10.020362854003906,0.9162423610687256,66.4000015258789,0.8182247877120972,-0.0122536551207304,0.9006329774856567,0.6423875093460083,0.22135105729103088
Bulgaria,2021,5.421693325042725,10.102083206176758,0.8836210370063782,66.5,0.8411880731582642,-0.0179043710231781,0.8912484645843506,0.6467598676681519,0.25277671217918396
Croatia,2012,6.027634620666504,10.091986656188965,0.77581787109375,67.54000091552734,0.5419097542762756,-0.24959376454353333,0.9238600134849548,0.5716532468795776,0.27104052901268005
